AAPL, AVB, AMD, CCC, BA, BLL, C, INTC, GPS, MMM, T, TJX
  1.506924, 24.749298, 15.150000,  6.740978, 33.570507,  4.626307,322.617249, 21.181519,  8.982042, 41.308575, 17.322845,  7.970335
  1.584680, 25.808847, 16.209999,  6.831464, 34.665195,  4.806320,344.242584, 23.362570, 10.368929, 41.713696, 17.056347,  8.370422
  1.603316, 26.409784, 14.600000,  6.976235, 33.668743,  4.894965,350.018585, 21.701141, 10.570193, 41.679356, 17.322845,  8.171428
  1.548051, 26.509947, 14.760000,  7.482941, 32.553017,  4.835510,351.075317, 20.914875, 10.957821, 39.959312, 16.843142,  8.125346
  1.521061, 26.251654, 14.710000,  7.582469, 33.858208,  5.104688,348.821167, 20.791807, 11.211266, 39.485535, 16.629932,  8.380898
  1.589821, 26.836348, 13.500000,  7.781532, 33.886284,  5.022530,342.833862, 20.545662, 11.516894, 41.861328, 16.585514,  8.186090
  1.610384, 28.146093, 13.150000,  8.134418, 34.068729,  5.421436,331.774567, 19.410696, 10.436018, 41.960888, 15.101971,  8.804029
  1.605243, 26.708046, 12.160000,  8.043933, 29.998726,  5.227926,327.759430, 20.579840, 10.860913, 42.877544, 14.639277,  8.873153
  1.478649, 25.344841, 11.200000,  8.143467, 29.128582,  4.910100,303.246155, 19.226093, 10.741647, 42.709316, 14.048695,  9.181076
  1.510780, 25.168421, 11.050000,  8.731605, 31.317986,  5.208470,311.980896, 18.159491, 11.010003, 43.601959, 13.932373,  9.208303
  1.498570, 24.644535, 11.040000,  7.988837, 30.616259,  5.137121,306.261200, 18.480427, 11.554163, 43.567627, 13.623662,  8.923426
  1.607171, 24.746099, 12.200000,  8.170401, 31.872334,  4.961992,330.875366, 21.347261, 12.150510, 44.655968, 15.466997,  8.898289
  1.551906, 24.863712, 11.650000,  7.970682, 30.533901,  4.776051,317.012268, 19.609371, 10.480745, 43.928116, 15.690693,  8.785043
  1.497285, 25.318115, 11.430000,  7.671099, 30.040857,  4.494981,305.412506, 18.897799, 10.860913, 43.274223, 15.341716,  8.847976
